"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000175866",214.583640070316,0.403692667485754,0.156443838276676,2.58043187851099,0.00986768225891739,0.0457118272165233
"ENSG00000132481",44.9527484785052,0.762450662184096,0.298002447541889,2.55853825521658,0.0105113254207441,0.0482808337122312
"ENSG00000233966",37.8989658232853,-0.815551010638841,0.319970015350066,-2.54883573933195,0.0108083194884746,0.0492278080903632
"ENSG00000108639",49.8184161153395,0.691833493710134,0.275574046750151,2.5105175972445,0.0120554313432378,0.0544140133092783
"ENSG00000240828",88.0138294288092,-0.556553999160484,0.22192721695421,-2.50782218962948,0.0121477778790086,0.0544140133092783
"ENSG00000186834",21.5855526390327,1.02798700225725,0.412680456066598,2.49099996654883,0.0127384131802808,0.0565919667517393
"ENSG00000266074",27.6307052714616,0.875202277479779,0.353289781885508,2.47729292596243,0.0132383202574228,0.0583347120286434
"ENSG00000237888",67.9095567223064,-0.58970051251893,0.238590563428276,-2.4716003183261,0.0134509805937503,0.0587938022726829
"ENSG00000167703",12.6888138441114,1.26815049411126,0.515902274406056,2.45812154166455,0.0139665897318247,0.0605591330771917
"ENSG00000062716",96.2142140292653,0.530132773332403,0.216098741391233,2.45319695024337,0.0141592790524551,0.0609073749716718
"ENSG00000274308",16.5301845258604,-1.1552957198678,0.471901467280805,-2.4481714933519,0.0143583296377711,0.0612772808163143
"ENSG00000284242",152.98593585251,0.427737917750375,0.17521353919591,2.44123781594362,0.0146370123197446,0.0619785990414185
"ENSG00000197063",61.296862903692,0.64973189234879,0.274016744256472,2.37113937730994,0.0177333424665607,0.0745075319137665
"ENSG00000169992",41.8289166551264,0.755844889705148,0.319372071436318,2.36665932091642,0.0179494468081797,0.074835385923334
"ENSG00000267170",189.787286756487,-0.381821047515973,0.16405755104126,-2.3273603994,0.0199460915846924,0.0825250506786512
"ENSG00000141367",401.730430971882,0.313910676909424,0.135377734193095,2.31877626539148,0.0204071707730599,0.0837930799924125
"ENSG00000228000",25.7150427311187,-0.891575452305089,0.386201436805908,-2.30857621783827,0.0209671089077526,0.085444909984977
"ENSG00000170004",124.985743968654,0.450350401294257,0.195572184698433,2.30273237469165,0.0212939054735286,0.0861290803481532
"ENSG00000167085",70.9445045586817,-0.642491031478397,0.286740994360781,-2.24066681818787,0.0250476649986672,0.0990936819655301
"ENSG00000225014",17.9617318546585,1.03358131559156,0.460695313493292,2.24352470129178,0.0248629988161807,0.0990936819655301
"ENSG00000240074",15.6965404638202,-1.10212503527499,0.491332543704039,-2.24313461299822,0.0248881352365424,0.0990936819655301
"ENSG00000213876",23.0759953005241,-0.863740705187796,0.386126506744276,-2.23693709212208,0.0252904518600624,0.0993291660011146
"ENSG00000240873",7.19470550517921,-1.6048150111703,0.723420722966375,-2.21837025153189,0.0265295977522259,0.103446345192133
"ENSG00000131759",66.684656886298,0.563997118675763,0.257655423881827,2.18895884347631,0.0285998315206557,0.11072220488711
"ENSG00000108344",108.791588624649,-0.474774352359751,0.21732785866183,-2.184599596587,0.028918217542877,0.111160807859853
"ENSG00000004142",34.2537317783186,-0.705635748841715,0.326207100463171,-2.16315263475199,0.0305294419043192,0.11652786980381
"ENSG00000142507",52.3472046947897,-0.576526525363499,0.267209587389929,-2.1575817357264,0.0309603659846141,0.117346282263363
"ENSG00000262609",98.3451728088313,-0.446241945694369,0.20764560254467,-2.1490556035174,0.0316299925020094,0.119051777333952
"ENSG00000108883",168.180742019721,-0.35439537645103,0.169113002414946,-2.09561282332073,0.0361165507536366,0.131811905304858
"ENSG00000132382",11.431283074,-1.19542621469644,0.56993453084065,-2.09747988586196,0.0359511159017221,0.131811905304858
"ENSG00000161533",16.7539415595025,1.0065675297952,0.479978820770071,2.09710821860907,0.0359839966217523,0.131811905304858
