##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	TRIMMED_SRR6638905.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3417037
Sequences flagged as poor quality	0
Sequence length	1-39
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.76089723348035	39.0	39.0	39.0	39.0	39.0
2	40.56171640535261	41.0	41.0	41.0	40.0	41.0
3	40.548904950986476	41.0	41.0	41.0	40.0	41.0
4	40.55287520544289	41.0	41.0	41.0	40.0	41.0
5	40.52172874754828	41.0	41.0	41.0	40.0	41.0
6	40.51612154592652	41.0	41.0	41.0	40.0	41.0
7	40.530074358407056	41.0	41.0	41.0	40.0	41.0
8	40.51139949036436	41.0	41.0	41.0	40.0	41.0
9	40.49764847805168	41.0	41.0	41.0	40.0	41.0
10	40.46109787144625	41.0	41.0	41.0	40.0	41.0
11	40.449414338757244	41.0	41.0	41.0	39.0	41.0
12	40.43501763003615	41.0	41.0	41.0	39.0	41.0
13	40.4021569926076	41.0	41.0	41.0	39.0	41.0
14	40.3743964519658	41.0	41.0	41.0	39.0	41.0
15	40.327948568013575	41.0	40.0	41.0	39.0	41.0
16	40.29709553866474	41.0	40.0	41.0	39.0	41.0
17	40.269555124162935	41.0	40.0	41.0	39.0	41.0
18	40.22154388086505	41.0	40.0	41.0	39.0	41.0
19	40.183795034969684	41.0	40.0	41.0	39.0	41.0
20	40.15125770784512	41.0	40.0	41.0	39.0	41.0
21	40.090977522828375	41.0	40.0	41.0	38.0	41.0
22	40.04554271960365	41.0	40.0	41.0	38.0	41.0
23	40.10289766719163	41.0	40.0	41.0	38.0	41.0
24	40.10770452791412	41.0	40.0	41.0	38.0	41.0
25	40.07684187143286	41.0	40.0	41.0	38.0	41.0
26	40.057068300796395	41.0	40.0	41.0	38.0	41.0
27	40.02233943449145	41.0	40.0	41.0	38.0	41.0
28	39.97872794379977	41.0	40.0	41.0	38.0	41.0
29	39.928652770749565	41.0	40.0	41.0	38.0	41.0
30	39.8631335381849	41.0	40.0	41.0	38.0	41.0
31	39.91345923929029	41.0	40.0	41.0	38.0	41.0
32	39.90380015353624	41.0	40.0	41.0	37.0	41.0
33	39.86642874306036	41.0	40.0	41.0	37.0	41.0
34	39.818465205428616	41.0	40.0	41.0	37.0	41.0
35	39.7533785435013	41.0	40.0	41.0	37.0	41.0
36	39.676497161218606	41.0	40.0	41.0	36.0	41.0
37	39.602617725503784	41.0	40.0	41.0	36.0	41.0
38	39.51318155118426	41.0	39.0	41.0	36.0	41.0
39	39.21636931581549	41.0	39.0	41.0	35.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	22	-0.005011117507763174
1103	23	0.009654798452750413
1103	24	0.017313568783642097
1103	25	0.02071929925740079
1103	26	0.040254171467232425
1103	27	0.01004942371220352
1103	28	0.03477661570435231
1103	29	0.03753841077499942
1103	30	0.07249869927910879
1103	31	0.03964225923362363
1103	32	-0.018198032613703674
1103	33	-0.01682372192055226
1103	34	-0.025089945963792104
1103	35	0.009837565367988077
1103	36	0.032850354268596504
1103	37	0.014504725710587252
1103	38	0.02970734312676626
1103	39	0.06626874194770238
1104	1	-9.79385668550492E-4
1104	2	0.04637422413627945
1104	3	0.036697317307087474
1104	4	0.027087672145164277
1104	5	0.037509839967640346
1104	6	0.03524089237582473
1104	7	0.00343515469221245
1104	8	-0.0032222597524622643
1104	9	0.020108270776468373
1104	10	-0.0050300156432143694
1104	11	0.022127497265657325
1104	12	0.006267048388465923
1104	13	0.004395278193833008
1104	14	0.02931116117154886
1104	15	0.004391483856878153
1104	16	-0.014494120843053793
1104	17	0.010008586742017656
1104	18	-0.028743184316510906
1104	19	-0.002760082451388257
1104	20	-0.02877176382856561
1104	21	-0.08857858361143656
1104	22	-0.04376031104394684
1104	23	-0.017487781598667596
1104	24	-0.004738762980096567
1104	25	-0.04214718610106871
1104	26	-0.013070660465018591
1104	27	-0.060177926863296705
1104	28	-0.009325158997519623
1104	29	0.024447491179273584
1104	30	-6.836447690190539E-4
1104	31	-0.08156804864640321
1104	32	-0.06491199348249665
1104	33	-0.04276482564451811
1104	34	-0.03995941919332324
1104	35	-0.04744385714476351
1104	36	-0.010106620113027986
1104	37	-0.04712355396624446
1104	38	-0.006673563661834692
1104	39	0.009255292401043391
1105	1	0.06982659067003993
1105	2	0.05114522407333766
1105	3	0.047121317446723765
1105	4	0.054566410252704145
1105	5	0.0720136374614384
1105	6	0.05754901963140213
1105	7	0.04908309826959112
1105	8	0.08390640755703771
1105	9	0.06735677375623084
1105	10	0.06516107295404083
1105	11	0.011462566918552852
1105	12	0.028066339508846738
1105	13	0.045335694117120795
1105	14	0.08257101828486668
1105	15	0.05859416884023716
1105	16	0.07415444317588538
1105	17	0.0961767068358057
1105	18	0.11359711280782392
1105	19	0.07737631948472767
1105	20	0.033455140062237376
1105	21	0.019962193892297364
1105	22	0.06548871135066037
1105	23	0.09933639330132138
1105	24	0.09744764559416552
1105	25	0.12217911644273727
1105	26	0.07153339678909276
1105	27	0.08237685368393244
1105	28	0.09949172293715947
1105	29	0.11131856680702867
1105	30	0.022160029874179088
1105	31	0.10554744816437989
1105	32	0.11457810193221007
1105	33	0.10136433198836414
1105	34	0.11538687764856093
1105	35	0.08359017510655775
1105	36	0.04159234777475973
1105	37	0.052267693946440374
1105	38	0.0753990073729085
1105	39	0.1046205462981078
1106	1	0.030122052499791607
1106	2	0.056502373996380584
1106	3	-0.015381650229350896
1106	4	0.038134635147152096
1106	5	0.022324600452542143
1106	6	0.025348745022448327
1106	7	0.03612424608755305
1106	8	0.026225913498322484
1106	9	0.05495955427086585
1106	10	0.09533541403103385
1106	11	0.05672531506573364
1106	12	0.07784366488089489
1106	13	0.11452038446979884
1106	14	0.03670682112037582
1106	15	0.07384283041832163
1106	16	0.05598905063147441
1106	17	0.03171433103305077
1106	18	0.07595486220142789
1106	19	0.056694337631078895
1106	20	0.05156513598662826
1106	21	0.05087993782537836
1106	22	-0.019857448278656875
1106	23	0.003188881994475423
1106	24	0.07966730902013097
1106	25	0.0791124485890009
1106	26	0.11313205421244277
1106	27	0.10813801313518923
1106	28	0.07174444627457177
